Breed,Adaptability,All_Around_Friendliness,Health_and_Grooming_Needs,Trainability,Physical_Needs
Manchester Terrier,3,3,3,3,4
Maltese,3,4,2,3,3
Catahoula Leopard Dog,2,3,3,3,4
German Shorthaired Pointer,2,4,3,5,5
Boston Terrier,4,5,3,3,5
Weimaraner,3,4,4,4,5
Akita,3,2,4,4,4
German Shepherd Dog,3,4,4,4,5
Rat Terrier,3,4,3,4,5
Cocker Spaniel,4,4,3,4,3
Great Dane,2,5,4,3,5
Shetland Sheepdog,3,5,3,3,4
Australian Cattle Dog,3,4,3,4,5
Shiba Inu,4,3,3,4,3
Rhodesian Ridgeback,3,4,4,3,5
Jack Russell Terrier,3,5,3,4,5
Pomeranian,3,3,3,3,3
Great Pyrenees,3,4,4,4,5
Australian Shepherd,3,4,2,5,5
Cairn Terrier,4,5,3,4,5
Lhasa Apso,4,3,2,3,4
Black and Tan Coonhound,3,5,4,4,5
Poodle,4,5,2,4,4
Greyhound,3,5,5,4,4
Rottweiler,2,4,4,4,4
Australian Kelpie,3,3,3,5,4
Labrador Retriever,3,5,4,4,5
Boxer,3,4,3,3,5
Dachshund,3,3,3,4,3
Redbone Coonhound,3,4,3,4,5
American Staffordshire Terrier,2,4,3,4,4
Bloodhound,3,5,3,4,4
Shih Tzu,3,5,2,3,3
Doberman Pinscher,3,3,4,3,4
American Bulldog,2,3,3,3,4
Norwegian Elkhound,4,4,3,4,4
Golden Retriever,3,5,4,4,4
Saint Bernard,3,5,4,2,3
Yorkshire Terrier,3,3,2,3,5
Beagle,3,5,3,4,5
Pekingese,3,3,2,4,2
West Highland White Terrier,4,4,3,4,4
Norfolk Terrier,4,5,3,3,4
Chihuahua,3,4,2,3,3
Border Collie,3,4,3,4,5
Schipperke,3,3,3,3,5
Collie,4,5,3,3,3
Bernese Mountain Dog,2,5,4,4,4
Karelian Bear Dog,3,3,3,4,4
Miniature Pinscher,3,3,3,4,4
Siberian Husky,3,5,3,4,5
Pointer,2,5,3,5,5
Papillon,3,4,2,3,4
Dutch Shepherd,3,4,3,3,4
Pug,3,4,3,2,4
Mastiff,2,4,4,2,4
